station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,status,county_name,sample_code,sample_date,sample_depth,sample_depth_units,parameter,result,reporting_limit,units,method_name
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744257,07/18/1975 09:50,,Feet,Dissolved Chloride,205,0.10000000,mg/L,"Std Method 4500-Cl, B"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744257,07/18/1975 09:50,,Feet,Dissolved Sodium,136,1.00000000,mg/L,EPA 273.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744257,07/18/1975 09:50,,Feet,Total Alkalinity,294,1.00000000,mg/L as CaCO3,EPA 310.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744257,07/18/1975 09:50,,Feet,Total Hardness,441,1.00000000,mg/L as CaCO3,EPA 130.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744257,07/18/1975 09:50,,Feet,pH,8.1,0.10000000,pH Units,EPA 150.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Conductance,1400,1.00000000,uS/cm,EPA 120.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Boron,.1,0.10000000,mg/L,"Std Method 4500-B, C"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Calcium,90,1.00000000,mg/L,EPA 215.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Chloride,207,0.10000000,mg/L,"Std Method 4500-Cl, B"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Hardness,467,1.00000000,mg/L as CaCO3,Std Method 2340 B (D)
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Magnesium,59,0.10000000,mg/L,EPA 242.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Potassium,1.2,0.10000000,mg/L,EPA 258.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Sodium,116,1.00000000,mg/L,EPA 273.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Dissolved Sulfate,117,1.00000000,mg/L,EPA 375.3
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Total Alkalinity,301,1.00000000,mg/L as CaCO3,EPA 310.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,Total Dissolved Solids,845,1.00000000,mg/L at 180 °C,EPA 160.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744259,07/19/1979 15:30,,Feet,pH,8.3,0.10000000,pH Units,EPA 150.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Conductance,1340,1.00000000,uS/cm,EPA 120.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Dissolved Boron,.1,0.10000000,mg/L,"Std Method 4500-B, C"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Dissolved Calcium,89,1.00000000,mg/L,EPA 215.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Dissolved Chloride,180,0.10000000,mg/L,"Std Method 4500-Cl, B"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Dissolved Magnesium,61,0.10000000,mg/L,"Std Method 3500-Mg, E"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Dissolved Sodium,95,1.00000000,mg/L,"Std Method 3500-Na, D"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Total Alkalinity,291,1.00000000,mg/L as CaCO3,EPA 310.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,Total Hardness,473,1.00000000,mg/L as CaCO3,EPA 130.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744254,07/20/1967 12:30,,Feet,pH,8.5,0.10000000,pH Units,EPA 150.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,*No Lab Analyses (Field Measures Only),,, ,EPA 353.2 (DWR Modified)
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,Conductance,1010,1.00000000,uS/cm,EPA 120.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,Dissolved Calcium,70,1.00000000,mg/L,EPA 215.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,Dissolved Chloride,121,1.00000000,mg/L,EPA 325.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,Dissolved Hardness,352,1.00000000,mg/L as CaCO3,Std Method 2340 B (D)
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,Dissolved Magnesium,43,0.10000000,mg/L,EPA 242.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,Dissolved Sodium,78,1.00000000,mg/L,EPA 273.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,Total Alkalinity,269,1.00000000,mg/L as CaCO3,EPA 310.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744260,07/23/1981 09:00,,Feet,pH,8,0.10000000,pH Units,EPA 150.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,Conductance,1240,1.00000000,uS/cm,EPA 120.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,Dissolved Calcium,85,1.00000000,mg/L,EPA 215.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,Dissolved Chloride,172,0.10000000,mg/L,"Std Method 4500-Cl, B"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,Dissolved Magnesium,55,0.10000000,mg/L,"Std Method 3500-Mg, E"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,Dissolved Sodium,95,1.00000000,mg/L,"Std Method 3500-Na, D"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,Total Alkalinity,305,1.00000000,mg/L as CaCO3,EPA 310.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,Total Hardness,440,1.00000000,mg/L as CaCO3,EPA 130.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744255,08/10/1971 12:30,,Feet,pH,7.8,0.10000000,pH Units,EPA 150.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744256,08/14/1973 10:30,,Feet,Conductance,1480,1.00000000,uS/cm,EPA 120.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744256,08/14/1973 10:30,,Feet,Dissolved Chloride,221,0.10000000,mg/L,"Std Method 4500-Cl, B"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744256,08/14/1973 10:30,,Feet,Dissolved Sodium,115,1.00000000,mg/L,EPA 273.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744256,08/14/1973 10:30,,Feet,Total Alkalinity,315,1.00000000,mg/L as CaCO3,EPA 310.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744256,08/14/1973 10:30,,Feet,Total Hardness,512,1.00000000,mg/L as CaCO3,EPA 130.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744256,08/14/1973 10:30,,Feet,pH,7.8,0.10000000,pH Units,EPA 150.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744258,08/29/1977 08:30,,Feet,Conductance,945,1.00000000,uS/cm,EPA 120.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744258,08/29/1977 08:30,,Feet,Dissolved Chloride,102,0.10000000,mg/L,"Std Method 4500-Cl, B"
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744258,08/29/1977 08:30,,Feet,Dissolved Nitrate,5.6,0.10000000,mg/L,EPA 352.1 (DWR Modified)
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744258,08/29/1977 08:30,,Feet,Dissolved Sodium,66,1.00000000,mg/L,EPA 273.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744258,08/29/1977 08:30,,Feet,Total Alkalinity,276,1.00000000,mg/L as CaCO3,EPA 310.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744258,08/29/1977 08:30,,Feet,Total Hardness,319,1.00000000,mg/L as CaCO3,EPA 130.2
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744258,08/29/1977 08:30,,Feet,pH,8.1,0.10000000,pH Units,EPA 150.1
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Conductance,733,1.00000000,uS/cm,EPA 120.1
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Dissolved Calcium,38,1.00000000,mg/L,EPA 215.1
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Dissolved Chloride,94,1.00000000,mg/L,EPA 325.2
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Dissolved Hardness,169,1.00000000,mg/L as CaCO3,Std Method 2340 B (D)
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Dissolved Magnesium,18,0.10000000,mg/L,EPA 242.1
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Dissolved Potassium,1,0.10000000,mg/L,EPA 258.1
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Dissolved Sodium,90,1.00000000,mg/L,EPA 273.1
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,Total Alkalinity,210,1.00000000,mg/L as CaCO3,EPA 310.1
8168,01S04W04R001M,01S04W04R001M,01S04W04R001M,Groundwater,37.86850000,-122.29940000,"Public, Review Status Unknown",Alameda,WDIS_0744280,09/18/1989 14:50,,Feet,pH,8.2,0.10000000,pH Units,EPA 150.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Conductance,1040,1.00000000,uS/cm,EPA 120.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Boron,.2,0.10000000,mg/L,"Std Method 4500-B, C"
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Calcium,28,1.00000000,mg/L,EPA 215.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Chloride,176,0.10000000,mg/L,"Std Method 4500-Cl, B"
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Magnesium,35,0.10000000,mg/L,EPA 242.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Nitrate,12,0.10000000,mg/L,EPA 352.1 (DWR Modified)
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Potassium,1.8,0.10000000,mg/L,EPA 258.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Sodium,133,1.00000000,mg/L,EPA 273.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Dissolved Sulfate,30,1.00000000,mg/L,EPA 375.3
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Total Alkalinity,214,1.00000000,mg/L as CaCO3,EPA 310.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Total Dissolved Solids,573,1.00000000,mg/L at 180 °C,EPA 160.1
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,Total Hardness,214,1.00000000,mg/L as CaCO3,EPA 130.2
8445,01S04W34F002M,01S04W34F002M,01S04W34F002M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744281,08/14/1973 11:00,,Feet,pH,8.4,0.10000000,pH Units,EPA 150.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Conductance,973,1.00000000,uS/cm,EPA 120.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Boron,.2,0.10000000,mg/L,"Std Method 4500-B, C"
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Calcium,30,1.00000000,mg/L,EPA 215.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Chloride,162,0.10000000,mg/L,"Std Method 4500-Cl, B"
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Magnesium,25,0.10000000,mg/L,EPA 242.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Nitrate,9.9,0.10000000,mg/L,EPA 352.1 (DWR Modified)
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Potassium,1.8,0.10000000,mg/L,EPA 258.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Sodium,130,1.00000000,mg/L,EPA 273.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Dissolved Sulfate,31,1.00000000,mg/L,EPA 375.3
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Total Alkalinity,205,1.00000000,mg/L as CaCO3,EPA 310.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Total Dissolved Solids,544,1.00000000,mg/L at 180 °C,EPA 160.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,Total Hardness,178,1.00000000,mg/L as CaCO3,EPA 130.2
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744282,07/18/1975 09:05,,Feet,pH,8.1,0.10000000,pH Units,EPA 150.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,Conductance,1030,1.00000000,uS/cm,EPA 120.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,Dissolved Calcium,35,1.00000000,mg/L,EPA 215.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,Dissolved Chloride,173,0.10000000,mg/L,"Std Method 4500-Cl, B"
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,Dissolved Hardness,215,1.00000000,mg/L as CaCO3,Std Method 2340 B (D)
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,Dissolved Magnesium,31,0.10000000,mg/L,EPA 242.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,Dissolved Sodium,130,1.00000000,mg/L,EPA 273.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,Total Alkalinity,211,1.00000000,mg/L as CaCO3,EPA 310.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744284,07/19/1979 13:30,,Feet,pH,8.3,0.10000000,pH Units,EPA 150.1
8446,01S04W34F004M,01S04W34F004M,01S04W34F004M,Groundwater,37.80370000,-122.29380000,"Public, Review Status Unknown",Alameda,WDIS_0744285,07/23/1981 10:00,,Feet,*No Lab Analyses (Field Measures Only),,, ,EPA 353.2 (DWR Modified)
