county_name,sample_date,parameter,result,reporting_limit,units,anomaly,potential_cause
Alameda,08/26/1980 07:50,Total Dissolved Solids,325,1.0,mg/L at 180 °C,1,Normal
Alameda,08/22/1985 09:40,Total Dissolved Solids,506,1.0,mg/L at 180 °C,1,Normal
Alameda,08/20/1979 14:00,Total Dissolved Solids,344,1.0,mg/L at 180 °C,1,Normal
Alameda,08/20/1973 10:30,Total Dissolved Solids,406,1.0,mg/L at 180 °C,1,Normal
Alameda,08/04/1981 14:00,Total Dissolved Solids,418,1.0,mg/L at 180 °C,1,Normal
Alameda,07/30/1981 14:00,Total Dissolved Solids,596,1.0,mg/L at 180 °C,1,Normal
Alameda,08/20/1973 13:45,Total Dissolved Solids,352,1.0,mg/L at 180 °C,1,Normal
Alameda,07/26/1982 00:00,Total Dissolved Solids,320,1.0,mg/L at 180 °C,1,Normal
Alameda,08/08/1972 12:05,Total Dissolved Solids,358,1.0,mg/L at 180 °C,1,Normal
Alameda,06/24/1981 17:00,Total Dissolved Solids,519,1.0,mg/L at 180 °C,1,Normal
Alameda,08/03/1981 14:00,Total Dissolved Solids,500,1.0,mg/L at 180 °C,1,Normal
Alameda,07/26/1984 11:00,Total Dissolved Solids,474,1.0,mg/L at 180 °C,1,Normal
Alameda,07/30/1974 09:55,Total Dissolved Solids,450,1.0,mg/L at 180 °C,1,Normal
Alameda,03/20/1974 00:00,Total Dissolved Solids,282,1.0,mg/L at 180 °C,1,Normal
Alameda,07/09/1979 13:30,Total Dissolved Solids,488,1.0,mg/L at 180 °C,1,Normal
Alameda,05/07/1974 00:00,Total Dissolved Solids,477,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1988 12:20,Total Dissolved Solids,520,1.0,mg/L at 180 °C,1,Normal
Alameda,05/07/1974 00:00,Total Dissolved Solids,478,1.0,mg/L at 180 °C,1,Normal
Alameda,03/11/1974 00:00,Total Dissolved Solids,467,1.0,mg/L at 180 °C,1,Normal
Alameda,07/30/1975 10:05,Total Dissolved Solids,380,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1988 12:00,Total Dissolved Solids,468,1.0,mg/L at 180 °C,1,Normal
Alameda,07/24/1974 00:00,Total Dissolved Solids,516,1.0,mg/L at 180 °C,1,Normal
Alameda,03/11/1974 00:00,Total Dissolved Solids,556,1.0,mg/L at 180 °C,1,Normal
Alameda,07/24/1974 00:00,Total Dissolved Solids,449,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1988 12:40,Total Dissolved Solids,591,1.0,mg/L at 180 °C,1,Normal
Alameda,07/24/1974 00:00,Total Dissolved Solids,434,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1988 14:15,Total Dissolved Solids,504,1.0,mg/L at 180 °C,1,Normal
Alameda,09/09/1974 00:00,Total Dissolved Solids,421,1.0,mg/L at 180 °C,1,Normal
Alameda,09/09/1974 00:00,Total Dissolved Solids,463,1.0,mg/L at 180 °C,1,Normal
Alameda,08/08/1972 09:30,Total Dissolved Solids,477,1.0,mg/L at 180 °C,1,Normal
Alameda,08/19/1976 13:30,Total Dissolved Solids,555,1.0,mg/L at 180 °C,1,Normal
Alameda,09/04/1986 12:40,Total Dissolved Solids,537,1.0,mg/L at 180 °C,1,Normal
Alameda,07/26/1982 00:00,Total Dissolved Solids,478,1.0,mg/L at 180 °C,1,Normal
Alameda,08/08/1972 09:15,Total Dissolved Solids,374,1.0,mg/L at 180 °C,1,Normal
Alameda,05/07/1974 00:00,Total Dissolved Solids,460,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1988 13:35,Total Dissolved Solids,472,1.0,mg/L at 180 °C,1,Normal
Alameda,09/09/1974 00:00,Total Dissolved Solids,464,1.0,mg/L at 180 °C,1,Normal
Alameda,07/16/1975 13:15,Total Dissolved Solids,482,1.0,mg/L at 180 °C,1,Normal
Alameda,08/03/1981 08:00,Total Dissolved Solids,349,1.0,mg/L at 180 °C,1,Normal
Alameda,05/07/1974 00:00,Total Dissolved Solids,370,1.0,mg/L at 180 °C,1,Normal
Alameda,07/16/1975 13:50,Total Dissolved Solids,476,1.0,mg/L at 180 °C,1,Normal
Alameda,07/24/1985 07:40,Total Dissolved Solids,472,1.0,mg/L at 180 °C,1,Normal
Alameda,09/10/1986 08:00,Total Dissolved Solids,658,1.0,mg/L at 180 °C,1,Normal
Alameda,07/27/1982 00:00,Total Dissolved Solids,298,1.0,mg/L at 180 °C,1,Normal
Alameda,08/08/1972 09:55,Total Dissolved Solids,279,1.0,mg/L at 180 °C,1,Normal
Alameda,06/30/1987 12:00,Total Dissolved Solids,542,1.0,mg/L at 180 °C,1,Normal
Alameda,08/13/1975 15:15,Total Dissolved Solids,564,1.0,mg/L at 180 °C,1,Normal
Alameda,09/24/1985 10:00,Total Dissolved Solids,684,1.0,mg/L at 180 °C,1,Normal
Alameda,08/04/1982 00:00,Total Dissolved Solids,1430,1.0,mg/L at 180 °C,1,Normal
Alameda,08/07/1972 14:45,Total Dissolved Solids,670,1.0,mg/L at 180 °C,1,Normal
Alameda,06/30/1987 13:30,Total Dissolved Solids,542,1.0,mg/L at 180 °C,1,Normal
Alameda,08/07/1972 15:30,Total Dissolved Solids,657,1.0,mg/L at 180 °C,1,Normal
Alameda,09/02/1983 09:00,Total Dissolved Solids,727,1.0,mg/L at 180 °C,1,Normal
Alameda,09/24/1985 13:30,Total Dissolved Solids,641,1.0,mg/L at 180 °C,1,Normal
Alameda,09/25/1986 10:50,Total Dissolved Solids,352,1.0,mg/L at 180 °C,1,Normal
Alameda,07/13/1979 10:30,Total Dissolved Solids,492,1.0,mg/L at 180 °C,1,Normal
Alameda,09/24/1985 15:20,Total Dissolved Solids,485,1.0,mg/L at 180 °C,1,Normal
Alameda,07/19/1974 13:35,Total Dissolved Solids,1580,1.0,mg/L at 180 °C,1,Normal
Alameda,08/23/1984 13:45,Total Dissolved Solids,1480,1.0,mg/L at 180 °C,1,Normal
Alameda,08/09/1971 12:30,Total Dissolved Solids,937,1.0,mg/L at 180 °C,1,Normal
Alameda,08/24/1983 12:00,Total Dissolved Solids,1020,1.0,mg/L at 180 °C,1,Normal
Alameda,07/24/1985 13:40,Total Dissolved Solids,1020,1.0,mg/L at 180 °C,1,Normal
Alameda,08/07/1972 14:00,Total Dissolved Solids,526,1.0,mg/L at 180 °C,1,Normal
Alameda,10/29/1985 10:50,Total Dissolved Solids,446,1.0,mg/L at 180 °C,1,Normal
Alameda,06/30/1987 10:20,Total Dissolved Solids,637,1.0,mg/L at 180 °C,1,Normal
Alameda,08/07/1972 14:30,Total Dissolved Solids,861,1.0,mg/L at 180 °C,1,Normal
Alameda,09/02/1983 14:30,Total Dissolved Solids,854,1.0,mg/L at 180 °C,1,Normal
Alameda,09/24/1985 08:45,Total Dissolved Solids,492,1.0,mg/L at 180 °C,1,Normal
Alameda,07/18/1974 15:30,Total Dissolved Solids,256,1.0,mg/L at 180 °C,1,Normal
Alameda,08/23/1984 08:50,Total Dissolved Solids,377,1.0,mg/L at 180 °C,1,Normal
Alameda,06/30/1987 14:40,Total Dissolved Solids,471,1.0,mg/L at 180 °C,1,Normal
Alameda,08/23/1984 10:45,Total Dissolved Solids,686,1.0,mg/L at 180 °C,1,Normal
Alameda,09/24/1985 11:20,Total Dissolved Solids,707,1.0,mg/L at 180 °C,1,Normal
Alameda,07/19/1974 13:05,Total Dissolved Solids,363,1.0,mg/L at 180 °C,1,Normal
Alameda,09/22/1971 12:00,Total Dissolved Solids,1230,1.0,mg/L at 180 °C,1,Normal
Alameda,07/25/1977 09:45,Total Dissolved Solids,600,1.0,mg/L at 180 °C,1,Normal
Alameda,10/01/1970 00:00,Total Dissolved Solids,892,1.0,mg/L at 180 °C,1,Normal
Alameda,10/16/1957 10:20,Total Dissolved Solids,446,1.0,mg/L at 180 °C,1,Normal
Alameda,03/04/1965 08:50,Total Dissolved Solids,348,1.0,mg/L at 180 °C,1,Normal
Alameda,03/06/1961 10:00,Total Dissolved Solids,443,1.0,mg/L at 180 °C,1,Normal
Alameda,03/07/1963 11:20,Total Dissolved Solids,503,1.0,mg/L at 180 °C,1,Normal
Alameda,03/07/1967 10:25,Total Dissolved Solids,420,1.0,mg/L at 180 °C,1,Normal
Alameda,03/09/1966 10:45,Total Dissolved Solids,351,1.0,mg/L at 180 °C,1,Normal
Alameda,03/10/1964 00:00,Total Dissolved Solids,378,1.0,mg/L at 180 °C,1,Normal
Alameda,03/15/1962 11:15,Total Dissolved Solids,388,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1966 08:30,Total Dissolved Solids,411,1.0,mg/L at 180 °C,1,Normal
Alameda,06/05/1961 09:45,Total Dissolved Solids,509,1.0,mg/L at 180 °C,1,Normal
Alameda,06/06/1963 08:30,Total Dissolved Solids,412,1.0,mg/L at 180 °C,1,Normal
Alameda,06/07/1967 10:00,Total Dissolved Solids,324,1.0,mg/L at 180 °C,1,Normal
Alameda,06/08/1965 11:20,Total Dissolved Solids,468,1.0,mg/L at 180 °C,1,Normal
Alameda,06/12/1964 08:30,Total Dissolved Solids,430,1.0,mg/L at 180 °C,1,Normal
Alameda,06/14/1962 08:55,Total Dissolved Solids,411,1.0,mg/L at 180 °C,1,Normal
Alameda,06/28/1983 13:00,Total Dissolved Solids,439,1.0,mg/L at 180 °C,1,Normal
Alameda,07/16/1985 00:00,Total Dissolved Solids,500,1.0,mg/L at 180 °C,1,Normal
Alameda,07/21/1982 14:00,Total Dissolved Solids,425,1.0,mg/L at 180 °C,1,Normal
Alameda,07/27/1977 13:45,Total Dissolved Solids,567,1.0,mg/L at 180 °C,1,Normal
Alameda,08/04/1976 09:35,Total Dissolved Solids,391,1.0,mg/L at 180 °C,1,Normal
Alameda,09/02/1962 00:00,Total Dissolved Solids,431,1.0,mg/L at 180 °C,1,Normal
Alameda,09/02/1965 00:00,Total Dissolved Solids,374,1.0,mg/L at 180 °C,1,Normal
Alameda,09/04/1984 00:00,Total Dissolved Solids,392,1.0,mg/L at 180 °C,1,Normal
Alameda,09/05/1961 10:30,Total Dissolved Solids,471,1.0,mg/L at 180 °C,1,Normal
Alameda,09/13/1966 08:30,Total Dissolved Solids,361,1.0,mg/L at 180 °C,1,Normal
Alameda,09/15/1963 00:00,Total Dissolved Solids,436,1.0,mg/L at 180 °C,1,Normal
Alameda,09/17/1964 09:05,Total Dissolved Solids,309,1.0,mg/L at 180 °C,1,Normal
Alameda,09/20/1978 13:30,Total Dissolved Solids,498,1.0,mg/L at 180 °C,1,Normal
Alameda,09/22/1986 10:00,Total Dissolved Solids,495,1.0,mg/L at 180 °C,1,Normal
Alameda,10/01/1975 09:20,Total Dissolved Solids,429,1.0,mg/L at 180 °C,1,Normal
Alameda,10/04/1988 10:00,Total Dissolved Solids,429,1.0,mg/L at 180 °C,1,Normal
Alameda,12/03/1964 08:15,Total Dissolved Solids,365,1.0,mg/L at 180 °C,1,Normal
Alameda,12/05/1962 10:00,Total Dissolved Solids,371,1.0,mg/L at 180 °C,1,Normal
Alameda,12/05/1963 07:30,Total Dissolved Solids,390,1.0,mg/L at 180 °C,1,Normal
Alameda,12/07/1960 11:00,Total Dissolved Solids,451,1.0,mg/L at 180 °C,1,Normal
Alameda,12/07/1961 10:00,Total Dissolved Solids,451,1.0,mg/L at 180 °C,1,Normal
Alameda,12/07/1965 09:30,Total Dissolved Solids,335,1.0,mg/L at 180 °C,1,Normal
Alameda,12/13/1966 10:20,Total Dissolved Solids,410,1.0,mg/L at 180 °C,1,Normal
Alameda,05/28/1951 00:00,Total Dissolved Solids,407,1.0,mg/L at 180 °C,1,Normal
Alameda,09/20/1950 12:45,Total Dissolved Solids,573,1.0,mg/L at 180 °C,1,Normal
Alameda,06/08/1951 00:00,Total Dissolved Solids,520,1.0,mg/L at 180 °C,1,Normal
Alameda,06/20/1951 00:00,Total Dissolved Solids,500,1.0,mg/L at 180 °C,1,Normal
Alameda,03/06/1961 10:45,Total Dissolved Solids,402,1.0,mg/L at 180 °C,1,Normal
Alameda,03/07/1960 11:05,Total Dissolved Solids,406,1.0,mg/L at 180 °C,1,Normal
Alameda,03/07/1963 11:00,Total Dissolved Solids,391,1.0,mg/L at 180 °C,1,Normal
Alameda,03/15/1962 11:45,Total Dissolved Solids,406,1.0,mg/L at 180 °C,1,Normal
Alameda,03/16/1959 00:00,Total Dissolved Solids,374,1.0,mg/L at 180 °C,1,Normal
Alameda,03/19/1956 09:40,Total Dissolved Solids,446,1.0,mg/L at 180 °C,1,Normal
Alameda,05/16/1956 10:00,Total Dissolved Solids,439,1.0,mg/L at 180 °C,1,Normal
Alameda,06/01/1959 16:55,Total Dissolved Solids,409,1.0,mg/L at 180 °C,1,Normal
Alameda,06/05/1961 08:55,Total Dissolved Solids,411,1.0,mg/L at 180 °C,1,Normal
Alameda,06/06/1960 00:00,Total Dissolved Solids,382,1.0,mg/L at 180 °C,1,Normal
Alameda,06/06/1963 09:45,Total Dissolved Solids,423,1.0,mg/L at 180 °C,1,Normal
Alameda,06/14/1962 09:30,Total Dissolved Solids,418,1.0,mg/L at 180 °C,1,Normal
Alameda,06/21/1956 12:00,Total Dissolved Solids,439,1.0,mg/L at 180 °C,1,Normal
Alameda,06/28/1951 00:00,Total Dissolved Solids,464,1.0,mg/L at 180 °C,1,Normal
Alameda,08/05/1953 00:00,Total Dissolved Solids,431,1.0,mg/L at 180 °C,1,Normal
Alameda,08/10/1954 09:45,Total Dissolved Solids,444,1.0,mg/L at 180 °C,1,Normal
Alameda,09/05/1951 00:00,Total Dissolved Solids,477,1.0,mg/L at 180 °C,1,Normal
Alameda,09/06/1962 00:00,Total Dissolved Solids,431,1.0,mg/L at 180 °C,1,Normal
Alameda,09/21/1960 12:15,Total Dissolved Solids,387,1.0,mg/L at 180 °C,1,Normal
Alameda,12/05/1962 09:30,Total Dissolved Solids,421,1.0,mg/L at 180 °C,1,Normal
Alameda,12/07/1960 10:00,Total Dissolved Solids,392,1.0,mg/L at 180 °C,1,Normal
Alameda,12/07/1961 09:30,Total Dissolved Solids,409,1.0,mg/L at 180 °C,1,Normal
Alameda,12/11/1958 00:00,Total Dissolved Solids,367,1.0,mg/L at 180 °C,1,Normal
Alameda,12/16/1959 13:50,Total Dissolved Solids,395,1.0,mg/L at 180 °C,1,Normal
Alameda,03/07/1960 11:00,Total Dissolved Solids,527,1.0,mg/L at 180 °C,1,Normal
Alameda,03/16/1959 00:00,Total Dissolved Solids,387,1.0,mg/L at 180 °C,1,Normal
Alameda,03/19/1956 09:30,Total Dissolved Solids,484,1.0,mg/L at 180 °C,1,Normal
Alameda,06/01/1959 16:45,Total Dissolved Solids,427,1.0,mg/L at 180 °C,1,Normal
Alameda,06/06/1960 00:00,Total Dissolved Solids,314,1.0,mg/L at 180 °C,1,Normal
Alameda,07/14/1960 09:30,Total Dissolved Solids,561,1.0,mg/L at 180 °C,1,Normal
Alameda,09/21/1960 12:35,Total Dissolved Solids,1240,1.0,mg/L at 180 °C,1,Normal
Alameda,10/11/1950 00:00,Total Dissolved Solids,520,1.0,mg/L at 180 °C,1,Normal
Alameda,12/11/1958 00:00,Total Dissolved Solids,413,1.0,mg/L at 180 °C,1,Normal
Alameda,12/16/1959 13:40,Total Dissolved Solids,655,1.0,mg/L at 180 °C,1,Normal
Alameda,06/12/1964 09:00,Total Dissolved Solids,422,1.0,mg/L at 180 °C,1,Normal
Alameda,06/20/1951 00:00,Total Dissolved Solids,480,1.0,mg/L at 180 °C,1,Normal
Alameda,03/04/1965 07:15,Total Dissolved Solids,402,1.0,mg/L at 180 °C,1,Normal
Alameda,03/07/1967 09:40,Total Dissolved Solids,395,1.0,mg/L at 180 °C,1,Normal
Alameda,03/09/1966 09:40,Total Dissolved Solids,395,1.0,mg/L at 180 °C,1,Normal
Alameda,03/10/1964 00:00,Total Dissolved Solids,372,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1966 08:50,Total Dissolved Solids,407,1.0,mg/L at 180 °C,1,Normal
Alameda,06/07/1967 09:30,Total Dissolved Solids,368,1.0,mg/L at 180 °C,1,Normal
Alameda,06/08/1965 11:30,Total Dissolved Solids,418,1.0,mg/L at 180 °C,1,Normal
Alameda,07/07/1969 00:00,Total Dissolved Solids,316,1.0,mg/L at 180 °C,1,Normal
Alameda,08/20/1980 11:04,Total Dissolved Solids,469,1.0,mg/L at 180 °C,1,Normal
Alameda,09/02/1965 00:00,Total Dissolved Solids,388,1.0,mg/L at 180 °C,1,Normal
Alameda,09/13/1966 09:00,Total Dissolved Solids,402,1.0,mg/L at 180 °C,1,Normal
Alameda,09/17/1964 09:30,Total Dissolved Solids,395,1.0,mg/L at 180 °C,1,Normal
Alameda,12/03/1964 08:50,Total Dissolved Solids,400,1.0,mg/L at 180 °C,1,Normal
Alameda,12/05/1963 08:30,Total Dissolved Solids,423,1.0,mg/L at 180 °C,1,Normal
Alameda,12/07/1965 10:00,Total Dissolved Solids,367,1.0,mg/L at 180 °C,1,Normal
Alameda,10/30/1963 00:00,Total Dissolved Solids,420,1.0,mg/L at 180 °C,1,Normal
Alameda,07/15/1985 00:00,Total Dissolved Solids,542,1.0,mg/L at 180 °C,1,Normal
Alameda,08/13/1974 09:50,Total Dissolved Solids,298,1.0,mg/L at 180 °C,1,Normal
Alameda,05/28/1951 00:00,Total Dissolved Solids,490,1.0,mg/L at 180 °C,1,Normal
Alameda,09/04/1984 09:45,Total Dissolved Solids,519,1.0,mg/L at 180 °C,1,Normal
Alameda,09/15/1965 00:00,Total Dissolved Solids,342,1.0,mg/L at 180 °C,1,Normal
Alameda,09/18/1972 10:30,Total Dissolved Solids,372,1.0,mg/L at 180 °C,1,Normal
Alameda,10/02/1964 15:20,Total Dissolved Solids,394,1.0,mg/L at 180 °C,1,Normal
Alameda,10/30/1963 00:00,Total Dissolved Solids,484,1.0,mg/L at 180 °C,1,Normal
Alameda,06/11/1971 00:00,Total Dissolved Solids,612,1.0,mg/L at 180 °C,1,Normal
Alameda,06/11/1971 00:00,Total Dissolved Solids,877,1.0,mg/L at 180 °C,1,Normal
Alameda,06/10/1971 00:00,Total Dissolved Solids,923,1.0,mg/L at 180 °C,1,Normal
Alameda,07/26/1982 11:15,Total Dissolved Solids,850,1.0,mg/L at 180 °C,1,Normal
Alameda,10/09/1970 00:00,Total Dissolved Solids,678,1.0,mg/L at 180 °C,1,Normal
Alameda,07/25/1977 10:40,Total Dissolved Solids,664,1.0,mg/L at 180 °C,1,Normal
Alameda,09/04/1984 10:00,Total Dissolved Solids,420,1.0,mg/L at 180 °C,1,Normal
Alameda,09/18/1973 10:10,Total Dissolved Solids,383,1.0,mg/L at 180 °C,1,Normal
Alameda,06/27/1983 10:25,Total Dissolved Solids,452,1.0,mg/L at 180 °C,1,Normal
Alameda,09/18/1972 11:20,Total Dissolved Solids,367,1.0,mg/L at 180 °C,1,Normal
Alameda,07/31/1987 13:00,Total Dissolved Solids,509,1.0,mg/L at 180 °C,1,Normal
Alameda,08/15/1974 11:15,Total Dissolved Solids,381,1.0,mg/L at 180 °C,1,Normal
Alameda,09/19/1978 14:00,Total Dissolved Solids,425,1.0,mg/L at 180 °C,1,Normal
Alameda,09/21/1978 09:15,Total Dissolved Solids,671,1.0,mg/L at 180 °C,1,Normal
Alameda,07/27/1981 12:00,Total Dissolved Solids,589,1.0,mg/L at 180 °C,1,Normal
Alameda,08/21/1980 11:24,Total Dissolved Solids,618,1.0,mg/L at 180 °C,1,Normal
Alameda,06/04/1971 00:00,Total Dissolved Solids,1300,1.0,mg/L at 180 °C,1,Normal
Alameda,07/15/1985 00:00,Total Dissolved Solids,657,1.0,mg/L at 180 °C,1,Normal
Alameda,08/15/1974 11:00,Total Dissolved Solids,749,1.0,mg/L at 180 °C,1,Normal
Alameda,10/19/1970 00:00,Total Dissolved Solids,577,1.0,mg/L at 180 °C,1,Normal
Alameda,09/18/1973 14:45,Total Dissolved Solids,814,1.0,mg/L at 180 °C,1,Normal
Alameda,10/02/1975 13:16,Total Dissolved Solids,296,1.0,mg/L at 180 °C,1,Normal
Alameda,08/21/1980 13:57,Total Dissolved Solids,711,1.0,mg/L at 180 °C,1,Normal
Alameda,09/18/1972 11:40,Total Dissolved Solids,434,1.0,mg/L at 180 °C,1,Normal
Alameda,09/18/1972 13:00,Total Dissolved Solids,357,1.0,mg/L at 180 °C,1,Normal
Alameda,10/02/1975 10:00,Total Dissolved Solids,288,1.0,mg/L at 180 °C,1,Normal
Alameda,08/21/1980 15:00,Total Dissolved Solids,460,1.0,mg/L at 180 °C,1,Normal
Alameda,07/31/1981 13:30,Total Dissolved Solids,589,1.0,mg/L at 180 °C,1,Normal
Alameda,08/12/1974 14:10,Total Dissolved Solids,410,1.0,mg/L at 180 °C,1,Normal
Alameda,09/04/1984 14:00,Total Dissolved Solids,430,1.0,mg/L at 180 °C,1,Normal
Alameda,05/26/1971 00:00,Total Dissolved Solids,9840,1.0,mg/L at 180 °C,1,Normal
Alameda,08/12/1974 14:30,Total Dissolved Solids,387,1.0,mg/L at 180 °C,1,Normal
Alameda,08/21/1980 14:15,Total Dissolved Solids,652,1.0,mg/L at 180 °C,1,Normal
Alameda,06/04/1968 11:00,Total Dissolved Solids,29300,1.0,mg/L at 180 °C,-1,Potential Concentrated Source or Data Error
Alameda,06/04/1968 00:00,Total Dissolved Solids,1410,1.0,mg/L at 180 °C,1,Normal
Alameda,08/20/1980 10:32,Total Dissolved Solids,572,1.0,mg/L at 180 °C,1,Normal
Alameda,09/19/1973 08:45,Total Dissolved Solids,1210,1.0,mg/L at 180 °C,1,Normal
Alameda,09/19/1978 11:45,Total Dissolved Solids,580,1.0,mg/L at 180 °C,1,Normal
Alameda,08/15/1974 14:00,Total Dissolved Solids,6020,1.0,mg/L at 180 °C,1,Normal
Alameda,07/22/1982 11:10,Total Dissolved Solids,735,1.0,mg/L at 180 °C,1,Normal
Alameda,09/18/1972 14:45,Total Dissolved Solids,562,1.0,mg/L at 180 °C,1,Normal
Alameda,06/04/1968 13:15,Total Dissolved Solids,471,1.0,mg/L at 180 °C,1,Normal
Alameda,07/27/1981 14:30,Total Dissolved Solids,652,1.0,mg/L at 180 °C,1,Normal
Alameda,06/03/1968 17:30,Total Dissolved Solids,16100,1.0,mg/L at 180 °C,-1,Special Sampling Conditions or Treatment Plant Failure
